"date" "NY-NewYork" "IL-Chicago" "CA-LosAngeles" "Composite-20"
"1" 2000-01-01 100 100 100 100
"2" 2000-02-01 100.540000915527 100.519996643066 100.620002746582 100.76000213623
"3" 2000-03-01 101.269996643066 101.529998779297 102.129997253418 101.949996948242
"4" 2000-04-01 102.410003662109 102.779998779297 103.699996948242 103.5
"5" 2000-05-01 104.349998474121 104.379997253418 104.98999786377 105.199996948242
"6" 2000-06-01 106 106.080001831055 106.360000610352 106.76000213623
"7" 2000-07-01 107.519996643066 107.01000213623 107.230003356934 107.769996643066
"8" 2000-08-01 108.900001525879 107.389999389648 108.180000305176 108.639999389648
"9" 2000-09-01 109.76000213623 107.300003051758 108.940002441406 109.349998474121
"10" 2000-10-01 110.51000213623 107.290000915527 109.559997558594 110.040000915527
"11" 2000-11-01 110.889999389648 107.430000305176 110.120002746582 110.809997558594
"12" 2000-12-01 111.870002746582 107.860000610352 110.120002746582 111.580001831055
"13" 2001-01-01 112.660003662109 108.349998474121 110.879997253418 112.389999389648
"14" 2001-02-01 113.51000213623 108.629997253418 111.319999694824 113.069999694824
"15" 2001-03-01 114.480003356934 109.379997253418 112.980003356934 114.139999389648
"16" 2001-04-01 115.599998474121 110.629997253418 114.120002746582 115.290000915527
"17" 2001-05-01 116.379997253418 112.120002746582 115.309997558594 116.23999786377
"18" 2001-06-01 117.900001525879 113.790000915527 116.470001220703 117.290000915527
"19" 2001-07-01 119.660003662109 115.199996948242 117.360000610352 118.199996948242
"20" 2001-08-01 121.410003662109 116.190002441406 118.669998168945 119.089996337891
"21" 2001-09-01 122.910003662109 116.690002441406 119.51000213623 119.839996337891
"22" 2001-10-01 123.860000610352 116.819999694824 120.160003662109 120.309997558594
"23" 2001-11-01 124.73999786377 116.769996643066 120.480003356934 120.529998779297
"24" 2001-12-01 124.720001220703 116.879997253418 120.650001525879 120.430000305176
"25" 2002-01-01 125.190002441406 116.959999084473 121.449996948242 120.639999389648
"26" 2002-02-01 125.400001525879 117.290000915527 122.26000213623 121.059997558594
"27" 2002-03-01 126.5 117.660003662109 124.120002746582 122.300003051758
"28" 2002-04-01 127.930000305176 118.970001220703 126.230003356934 123.919998168945
"29" 2002-05-01 129.889999389648 120.379997253418 128.729995727539 125.860000610352
"30" 2002-06-01 132.199996948242 121.559997558594 131.589996337891 127.819999694824
"31" 2002-07-01 135.179992675781 122.769996643066 133.970001220703 129.660003662109
"32" 2002-08-01 137.740005493164 123.48999786377 136.589996337891 131.220001220703
"33" 2002-09-01 139.690002441406 124.069999694824 138.619995117188 132.429992675781
"34" 2002-10-01 141.580001831055 124.660003662109 140.759994506836 133.550003051758
"35" 2002-11-01 143.289993286133 125.379997253418 142.070007324219 134.410003662109
"36" 2002-12-01 145.199996948242 126.269996643066 143.259994506836 135.149993896484
"37" 2003-01-01 146.550003051758 126.769996643066 144.270004272461 135.639999389648
"38" 2003-02-01 147.300003051758 127.480003356934 145.300003051758 136.190002441406
"39" 2003-03-01 148.380004882812 128.259994506836 147.229995727539 137.199996948242
"40" 2003-04-01 149.529998779297 129.050003051758 149.649993896484 138.559997558594
"41" 2003-05-01 150.880004882812 130.520004272461 152.270004272461 140.059997558594
"42" 2003-06-01 151.860000610352 131.429992675781 154.979995727539 141.389999389648
"43" 2003-07-01 153.5 132.5 158.339996337891 142.990005493164
"44" 2003-08-01 155.139999389648 133.009994506836 161.889999389648 144.559997558594
"45" 2003-09-01 157.100006103516 133.940002441406 165.289993286133 146.279998779297
"46" 2003-10-01 158.729995727539 134.869995117188 168.399993896484 147.820007324219
"47" 2003-11-01 160.589996337891 135.910003662109 171.110000610352 149.220001220703
"48" 2003-12-01 162.309997558594 137.089996337891 173.979995727539 150.490005493164
"49" 2004-01-01 163.630004882812 137.649993896484 177.009994506836 151.690002441406
"50" 2004-02-01 164.919998168945 138.100006103516 180.490005493164 153.100006103516
"51" 2004-03-01 166.610000610352 138.080001831055 186.550003051758 155.490005493164
"52" 2004-04-01 168.300003051758 139.259994506836 193.220001220703 158.470001220703
"53" 2004-05-01 170.520004272461 141.279998779297 199.580001831055 161.600006103516
"54" 2004-06-01 172.899993896484 142.570007324219 206.380004882812 164.820007324219
"55" 2004-07-01 175.740005493164 143.960006713867 211.080001831055 167.429992675781
"56" 2004-08-01 177.929992675781 144.759994506836 213.490005493164 169.309997558594
"57" 2004-09-01 179.789993286133 146.039993286133 215.080001831055 170.960006713867
"58" 2004-10-01 181.899993896484 146.889999389648 215.740005493164 172.410003662109
